distance,0.8,0.6,0.4,0.2,name
27.76,0.002207,0.017053,0.027735000000000003,0.020208,ATV
30.29,0.0015550000000000002,0.015295,0.025312,0.017641,ATV
32.81,0.002868,0.014306000000000001,0.02244,0.016391,ATV
35.34,0.001355,0.013368000000000001,0.022693,0.016364,ATV
37.86,0.001756,0.011751000000000001,0.019856,0.013692,ATV
40.38,0.001218,0.011715999999999999,0.019727,0.013681,ATV
42.91,0.001335,0.01095,0.019438999999999998,0.012737,ATV
45.43,0.0008320000000000001,0.009427,0.017153,0.012064,ATV
47.96,0.0018859999999999999,0.009972,0.017455000000000002,0.012683,ATV
50.48,0.0010140000000000001,0.010114,0.016482,0.01163,ATV
53.01,0.000909,0.008964,0.015629,0.011436,ATV
55.53,0.0011,0.00812,0.014697,0.009987000000000001,ATV
58.05,0.0015710000000000001,0.00761,0.014069,0.008926,ATV
60.58,0.002029,0.007867,0.013447,0.009134999999999999,ATV
3.12,0.004029,0.004358,0.005790999999999999,0.11854400000000001,tree
6.24,0.001306,0.001621,0.001956,0.050423,tree
9.36,0.000986,0.0011480000000000001,0.001288,0.033802,tree
12.47,0.000231,0.000366,0.00106,0.025823000000000002,tree
15.59,0.002323,0.002274,0.002184,0.020087,tree
18.71,0.000127,0.000194,0.00035299999999999996,0.017092,tree
21.83,0.001048,0.00103,0.001094,0.015619999999999998,tree
24.95,0.000242,0.000265,0.000401,0.012673,tree
28.07,0.001291,0.0014990000000000001,0.0014869999999999998,0.01126,tree
31.19,0.0013310000000000002,0.001283,0.0014,0.009462,tree
34.31,0.000156,0.00036,0.00040300000000000004,0.008359,tree
37.42,0.000193,0.00034500000000000004,0.00024700000000000004,0.007624,tree
40.54,0.002111,0.001834,0.0016899999999999999,0.006989,tree
43.66,0.000262,0.0004980000000000001,0.000362,0.007261,tree
46.78,0.000206,0.00037799999999999997,0.00046100000000000004,0.007164,tree
49.9,0.001116,0.001032,0.001153,0.005458,tree
0.68,0.012393000000000001,0.023157,0.044125,0.06072,hammer
1.35,0.003979,0.011819,0.021115000000000002,0.026467,hammer
2.03,0.002058,0.007789,0.011417,0.015895,hammer
2.71,0.001538,0.00562,0.007215999999999999,0.009956999999999999,hammer
3.38,0.0012640000000000001,0.004913,0.0057009999999999995,0.006423000000000001,hammer
4.06,0.0008849999999999999,0.004346,0.00465,0.00466,hammer
4.74,0.00041900000000000005,0.00257,0.002907,0.002734,hammer
5.41,0.002136,0.003658,0.0037380000000000004,0.003229,hammer
6.09,0.001108,0.0021780000000000002,0.0023710000000000003,0.002927,hammer
6.77,0.000826,0.002785,0.004081,0.002829,hammer
7.44,0.000383,0.001396,0.00196,0.001207,hammer
8.12,0.000148,0.0020559999999999997,0.001865,0.002676,hammer
8.8,0.000771,0.001425,0.002264,0.001993,hammer
9.47,0.0009689999999999999,0.000642,0.001657,0.001326,hammer
0.42,0.002048,0.0037700000000000003,0.004804,0.007859,CocacolaFinal
0.83,0.00112,0.003732,0.006079,0.006007,CocacolaFinal
1.25,0.00081,0.002107,0.002882,0.002865,CocacolaFinal
1.66,0.00021600000000000002,0.000677,0.001391,0.002037,CocacolaFinal
2.08,0.000131,0.00044100000000000004,0.000991,0.001332,CocacolaFinal
2.49,5.2000000000000004e-05,0.000683,0.000455,0.000597,CocacolaFinal
2.91,2.8000000000000003e-05,0.002101,0.002061,0.001621,CocacolaFinal
3.32,1e-05,0.001039,0.002199,0.001232,CocacolaFinal
3.74,3.5e-05,0.0007160000000000001,0.0017329999999999997,0.000627,CocacolaFinal
4.15,1e-05,0.000927,0.001389,0.000771,CocacolaFinal
4.57,7e-06,0.000741,0.000995,0.000895,CocacolaFinal
4.98,2e-06,0.00067,0.0014060000000000001,0.001145,CocacolaFinal
5.4,3e-06,0.0008640000000000001,0.001261,0.001348,CocacolaFinal
1.17,0.026931999999999998,0.034349,0.038917,0.080697,plane
2.31,0.012773999999999999,0.014648,0.017751,0.03277,plane
3.47,0.009128,0.009590000000000001,0.010326,0.018447,plane
4.63,0.005915999999999999,0.006358,0.0066549999999999995,0.012777,plane
5.79,0.00502,0.00548,0.0056,0.009189,plane
6.96,0.002939,0.002859,0.003283,0.007396,plane
8.13,0.0017469999999999999,0.002038,0.002227,0.0060810000000000005,plane
9.29,0.0018329999999999998,0.001759,0.003069,0.00584,plane
10.46,0.001623,0.001814,0.002175,0.00564,plane
11.63,0.001855,0.001452,0.0019809999999999997,0.004096,plane
12.79,0.00123,0.0014880000000000002,0.001661,0.003327,plane
13.96,0.001152,0.0017289999999999999,0.0017120000000000002,0.004072999999999999,plane
15.13,0.000746,0.0008820000000000001,0.001024,0.002408,plane
16.3,0.0009220000000000001,0.000778,0.001241,0.003069,plane
17.47,0.000828,0.0008759999999999999,0.001359,0.002866,plane
18.64,0.000339,0.0008550000000000001,0.000951,0.001794,plane
19.81,0.001052,0.000837,0.0008939999999999999,0.002196,plane
20.97,0.00044100000000000004,0.00046100000000000004,0.0004940000000000001,0.001076,plane
22.14,0.000234,0.000405,0.000672,0.001859,plane
23.31,0.00024300000000000002,0.00035299999999999996,0.00042199999999999996,0.001224,plane
24.48,0.000334,0.000605,0.00084,0.001637,plane
25.65,0.00031,0.000454,0.000602,0.001393,plane
26.82,0.000122,0.00032900000000000003,0.00043499999999999995,0.001,plane
27.99,7.8e-05,0.00011100000000000001,0.000256,0.000633,plane
29.16,0.000131,0.00011599999999999999,0.00056,0.001025,plane
30.33,0.000155,0.00015900000000000002,0.000294,0.000942,plane
31.5,5.3e-05,0.000259,0.000231,0.00133,plane
0.84,0.001934,0.007237,0.012460,0.024167,apricot
1.68,0.000356,0.001019,0.002196,0.002640,apricot
2.52,0.000082,0.000142,0.000337,0.000746,apricot
3.35,0.000007,0.000034,0.000133,0.000263,apricot
4.19,0.000003,0.000020,0.000077,0.000196,apricot
5.03,0.000002,0.000006,0.000062,0.000119,apricot
5.87,0.000019,0.000020,0.000034,0.000122,apricot
6.71,0.000000,0.000002,0.000033,0.000077,apricot
7.55,0.000011,0.000011,0.000035,0.000108,apricot
8.38,0.000000,0.000001,0.000029,0.000051,apricot
9.22,0.000000,0.000001,0.000022,0.000054,apricot
10.06,0.000000,0.000001,0.000010,0.000047,apricot
10.9,0.000002,0.000002,0.000013,0.000019,apricot
11.74,0.000000,0.000000,0.000023,0.000050,apricot
12.58,0.000000,0.000001,0.000006,0.000048,apricot
13.41,0.000000,0.000001,0.000086,0.000102,apricot
14.25,0.000002,0.000002,0.000019,0.000028,apricot
6.79,0.041943,0.107873,0.161485,0.166146,GarbageFinal
13.58,0.011860,0.051733,0.075295,0.083613,GarbageFinal
20.38,0.006507,0.035916,0.053971,0.058743,GarbageFinal
27.17,0.004354,0.029270,0.042918,0.046969,GarbageFinal
